# Curated verse pool for Menu Bar Bible.
# Format: <reference><TAB><comma-separated tag slugs>
# References only. Text is rendered from whichever translation the user selects.
# Edit freely. build_curated.py validates every reference against bible.sqlite.
#
# Tags: comfort anxiety gratitude courage forgiveness patience
#       hope wisdom humility provision rest purpose

Genesis 1:27	purpose,humility
Genesis 28:15	comfort,courage
Genesis 50:20	hope,purpose
Exodus 14:14	rest,courage
Exodus 33:14	rest,comfort
Deuteronomy 6:5	purpose
Deuteronomy 31:6	courage,comfort
Deuteronomy 31:8	courage,comfort
Deuteronomy 8:3	provision
Joshua 1:9	courage
Joshua 24:15	purpose
Ruth 1:16	purpose,courage
1 Samuel 16:7	humility,wisdom
1 Samuel 12:24	gratitude,purpose
2 Samuel 22:29	hope
1 Kings 19:11-12	rest,comfort
1 Chronicles 16:11	hope,rest
1 Chronicles 16:34	gratitude
2 Chronicles 7:14	humility,forgiveness
2 Chronicles 20:15	courage,anxiety
Nehemiah 8:10	gratitude,comfort
Job 19:25	hope
Job 23:10	patience,hope
Job 42:2	humility,hope
Psalms 1:1-3	wisdom,purpose
Psalms 4:8	rest,anxiety
Psalms 9:9-10	comfort,hope
Psalms 16:8	courage,rest
Psalms 16:11	hope,purpose
Psalms 18:2	courage,comfort
Psalms 19:14	humility,wisdom
Psalms 23:1-3	rest,provision,comfort
Psalms 23:4	comfort,courage
Psalms 27:1	courage,anxiety
Psalms 27:13-14	patience,hope
Psalms 28:7	gratitude,courage
Psalms 29:11	rest,provision
Psalms 30:5	hope,comfort
Psalms 32:8	wisdom,purpose
Psalms 34:4	anxiety,comfort
Psalms 34:8	gratitude,hope
Psalms 34:17-18	comfort,anxiety
Psalms 37:4	hope,purpose
Psalms 37:7	patience,rest
Psalms 37:23-24	provision,hope
Psalms 40:1-2	patience,hope
Psalms 42:11	hope,comfort
Psalms 46:1	comfort,anxiety
Psalms 46:10	rest,anxiety
Psalms 51:10	forgiveness,humility
Psalms 51:12	forgiveness,hope
Psalms 55:22	anxiety,rest
Psalms 56:3	anxiety,courage
Psalms 62:1-2	rest,patience
Psalms 63:1	purpose,hope
Psalms 71:5	hope,patience
Psalms 73:26	comfort,provision
Psalms 84:11	provision,gratitude
Psalms 86:5	forgiveness,comfort
Psalms 90:12	wisdom,purpose
Psalms 91:1-2	comfort,rest
Psalms 94:19	anxiety,comfort
Psalms 100:4-5	gratitude
Psalms 103:2-4	gratitude,forgiveness
Psalms 103:8	forgiveness,patience
Psalms 103:12	forgiveness
Psalms 107:1	gratitude
Psalms 118:24	gratitude,hope
Psalms 119:11	wisdom,purpose
Psalms 119:105	wisdom,purpose
Psalms 121:1-2	comfort,provision
Psalms 126:5	patience,hope
Psalms 127:1-2	rest,humility
Psalms 130:5	patience,hope
Psalms 133:1	forgiveness,gratitude
Psalms 136:1	gratitude
Psalms 139:1-3	comfort,purpose
Psalms 139:14	gratitude,purpose
Psalms 139:23-24	humility,wisdom
Psalms 143:8	hope,wisdom
Psalms 145:8-9	forgiveness,gratitude
Psalms 145:18	comfort,hope
Psalms 147:3	comfort
Proverbs 2:6	wisdom
Proverbs 3:5-6	wisdom,anxiety
Proverbs 3:7-8	humility,wisdom
Proverbs 4:23	wisdom,purpose
Proverbs 10:12	forgiveness
Proverbs 11:2	humility,wisdom
Proverbs 12:25	anxiety,comfort
